ProgramSliceNoDependence.csv
,P,Pv,Pc,Pf,T,S,Tm,Ts,Tc,R,Tdfd,Tcfd,Ttra,Tpro
../test/01_Fib_slice.iii,43,10,33,0,29,83055,1.635000,NULL,14849.194000,false,1.327000,18.716000,0.306000,20.349000
../test/01_Fib_slice.iii,25,8,17,0,15,50,0.903000,NULL,9.930000,false,1.303000,17.357000,0.329000,18.989000
../test/02_Lamport_slice.iii,74,7,67,0,76,416,2.682000,NULL,38.538000,true,1.916000,165.676000,0.571000,168.163000
../test/02_Lamport_slice.iii,62,7,55,0,65,21,2.083000,NULL,7.794000,false,2.043000,166.203000,0.887000,169.133000
../test/03_Dekker_slice.iii,59,7,52,0,53,114,1.893000,NULL,13.689000,true,1.465000,64.280000,0.418000,66.163000
../test/03_Dekker_slice.iii,41,7,34,0,36,99,1.439000,NULL,12.642000,true,1.441000,64.816000,0.582000,66.839000
../test/04_Szymanski_slice.iii,70,6,64,0,71,301,2.594000,NULL,26.972000,true,1.721000,447.294000,0.935000,449.950000
../test/04_Szymanski_slice.iii,50,6,44,0,52,58,1.951000,NULL,10.221000,false,1.685000,447.437000,1.130000,450.252000
../test/05_Peterson_slice.iii,50,7,43,0,42,96,1.568000,NULL,12.900000,true,1.288000,40.113000,0.251000,41.652000
../test/05_Peterson_slice.iii,31,7,24,0,24,78,1.174000,NULL,11.443000,true,1.281000,40.319000,0.354000,41.954000
../test/06_Sync_slice.iii,47,6,41,0,35,38,1.233000,NULL,8.689000,true,1.761000,14.485000,0.333000,16.579000
../test/06_Sync_slice.iii,37,6,31,0,28,38,1.313000,NULL,8.772000,true,1.687000,14.422000,0.653000,16.762000
../test/07_Datarace_slice.iii,59,8,51,0,48,85633,2.009000,NULL,7952.084000,true,1.962000,51.229000,0.412000,53.603000
../test/07_Datarace_slice.iii,47,8,39,0,38,284,1.948000,NULL,17.276000,false,1.809000,51.691000,0.890000,54.390000
../test/08_Rwlock_slice.iii,78,14,64,0,56,299,2.203000,NULL,39.701000,true,1.817000,32.219000,0.918000,34.954000
../test/08_Rwlock_slice.iii,66,14,52,0,43,416,1.898000,NULL,52.418000,true,1.880000,32.134000,0.916000,34.930000
../test/09_Varmutex_slice.iii,71,10,61,0,55,406,3.488000,NULL,45.975000,true,1.793000,29.681000,0.664000,32.138000
../test/09_Varmutex_slice.iii,53,10,43,0,39,771,3.010000,NULL,83.199000,true,1.648000,29.976000,0.727000,32.351000
../test/10_Lazy_slice.iii,48,6,42,0,35,74,1.293000,NULL,11.196000,false,1.626000,11.835000,0.228000,13.689000
../test/10_Lazy_slice.iii,31,5,26,0,22,34,1.024000,NULL,8.372000,false,1.615000,12.141000,0.442000,14.198000
