ProgramSliceNoDependence.csv
,P,Pv,Pc,Pf,T,S,Tm,Ts,Tc,R,Tdfd,Tcfd,Ttra,Tpro
../test/01_Fib_slice.iii,43,10,33,0,29,83055,1.650000,NULL,14806.502000,false,1.394000,19.740000,0.335000,21.469000
../test/01_Fib_slice.iii,25,8,17,0,15,50,0.933000,NULL,9.890000,false,1.302000,17.480000,0.329000,19.111000
../test/02_Lamport_slice.iii,74,7,67,0,76,416,2.433000,NULL,38.051000,true,1.975000,165.894000,0.582000,168.451000
../test/02_Lamport_slice.iii,62,7,55,0,65,21,2.162000,NULL,8.117000,false,2.164000,164.979000,0.864000,168.007000
../test/03_Dekker_slice.iii,59,7,52,0,53,114,2.042000,NULL,13.638000,true,1.436000,64.032000,0.466000,65.934000
../test/03_Dekker_slice.iii,41,7,34,0,36,99,1.527000,NULL,12.931000,true,1.476000,64.267000,0.522000,66.265000
../test/04_Szymanski_slice.iii,70,6,64,0,71,301,2.637000,NULL,27.583000,true,1.712000,449.551000,0.947000,452.210000
../test/04_Szymanski_slice.iii,50,6,44,0,52,58,2.036000,NULL,10.236000,false,1.985000,448.868000,1.211000,452.064000
../test/05_Peterson_slice.iii,50,7,43,0,42,96,1.570000,NULL,13.195000,true,1.284000,40.481000,0.252000,42.017000
../test/05_Peterson_slice.iii,31,7,24,0,24,78,1.195000,NULL,11.613000,true,1.243000,40.049000,0.336000,41.628000
../test/06_Sync_slice.iii,47,6,41,0,35,38,1.214000,NULL,8.442000,true,1.712000,14.644000,0.341000,16.697000
../test/06_Sync_slice.iii,37,6,31,0,28,38,1.088000,NULL,8.452000,true,1.772000,14.552000,0.712000,17.036000
../test/07_Datarace_slice.iii,59,8,51,0,48,85633,2.071000,NULL,7952.532000,true,1.842000,50.734000,0.413000,52.989000
../test/07_Datarace_slice.iii,47,8,39,0,38,284,1.784000,NULL,17.392000,false,1.808000,51.169000,0.719000,53.696000
../test/08_Rwlock_slice.iii,78,14,64,0,56,299,2.243000,NULL,41.905000,true,1.809000,31.720000,0.847000,34.376000
../test/08_Rwlock_slice.iii,66,14,52,0,43,416,1.870000,NULL,53.810000,true,1.813000,31.733000,0.913000,34.459000
../test/09_Varmutex_slice.iii,71,10,61,0,55,406,3.414000,NULL,46.083000,true,1.756000,29.641000,0.662000,32.059000
../test/09_Varmutex_slice.iii,53,10,43,0,39,771,3.005000,NULL,82.775000,true,1.666000,29.458000,0.743000,31.867000
../test/10_Lazy_slice.iii,48,6,42,0,35,74,1.358000,NULL,11.784000,false,1.640000,11.896000,0.228000,13.764000
../test/10_Lazy_slice.iii,31,5,26,0,22,34,1.000000,NULL,7.929000,false,1.839000,12.088000,0.412000,14.339000
