ProgramSliceNoDependence.csv
,P,Pv,Pc,Pf,T,S,Tm,Ts,Tc,R,Tdfd,Tcfd,Ttra,Tpro
../test/01_Fib_slice.iii,43,10,33,0,29,83055,1.476000,NULL,14954.999000,false,1.409000,17.966000,0.299000,19.674000
../test/01_Fib_slice.iii,25,8,17,0,15,50,0.912000,NULL,9.776000,false,1.237000,17.397000,0.335000,18.969000
../test/02_Lamport_slice.iii,74,7,67,0,76,416,2.647000,NULL,39.403000,true,2.068000,164.697000,0.584000,167.349000
../test/02_Lamport_slice.iii,62,7,55,0,65,21,2.696000,NULL,8.052000,false,1.941000,165.094000,0.905000,167.940000
../test/03_Dekker_slice.iii,59,7,52,0,53,114,2.054000,NULL,13.929000,true,1.468000,64.402000,0.417000,66.287000
../test/03_Dekker_slice.iii,41,7,34,0,36,99,1.490000,NULL,12.725000,true,1.438000,64.103000,0.520000,66.061000
../test/04_Szymanski_slice.iii,70,6,64,0,71,301,2.434000,NULL,27.915000,true,1.731000,451.822000,0.999000,454.552000
../test/04_Szymanski_slice.iii,50,6,44,0,52,58,2.028000,NULL,10.168000,false,1.760000,447.805000,1.190000,450.755000
../test/05_Peterson_slice.iii,50,7,43,0,42,96,1.547000,NULL,12.561000,true,1.256000,40.336000,0.250000,41.842000
../test/05_Peterson_slice.iii,31,7,24,0,24,78,1.108000,NULL,12.080000,true,1.270000,40.339000,0.335000,41.944000
../test/06_Sync_slice.iii,47,6,41,0,35,38,1.338000,NULL,8.491000,true,1.760000,14.380000,0.333000,16.473000
../test/06_Sync_slice.iii,37,6,31,0,28,38,1.125000,NULL,9.423000,true,1.740000,14.577000,0.656000,16.973000
../test/07_Datarace_slice.iii,59,8,51,0,48,85633,2.039000,NULL,8023.176000,true,1.950000,52.066000,0.415000,54.431000
../test/07_Datarace_slice.iii,47,8,39,0,38,284,1.836000,NULL,18.114000,false,2.015000,50.982000,0.743000,53.740000
../test/08_Rwlock_slice.iii,78,14,64,0,56,299,2.310000,NULL,40.498000,true,1.869000,32.399000,0.833000,35.101000
../test/08_Rwlock_slice.iii,66,14,52,0,43,416,1.899000,NULL,52.276000,true,1.916000,31.851000,0.916000,34.683000
../test/09_Varmutex_slice.iii,71,10,61,0,55,406,3.580000,NULL,45.903000,true,1.673000,29.730000,0.663000,32.066000
../test/09_Varmutex_slice.iii,53,10,43,0,39,771,3.046000,NULL,82.983000,true,1.745000,29.532000,0.713000,31.990000
../test/10_Lazy_slice.iii,48,6,42,0,35,74,1.343000,NULL,11.325000,false,1.581000,12.089000,0.230000,13.900000
../test/10_Lazy_slice.iii,31,5,26,0,22,34,0.996000,NULL,7.983000,false,1.662000,12.031000,0.419000,14.112000
