ProgramSliceNoDependence.csv
,P,Pv,Pc,Pf,T,S,Tm,Ts,Tc,R,Tdfd,Tcfd,Ttra,Tpro
../test/01_Fib_slice.iii,43,10,33,0,29,83055,1.584000,NULL,14933.796000,false,1.317000,17.903000,0.303000,19.523000
../test/01_Fib_slice.iii,25,8,17,0,15,50,0.937000,NULL,9.861000,false,1.227000,17.436000,0.329000,18.992000
../test/02_Lamport_slice.iii,74,7,67,0,76,416,2.640000,NULL,39.525000,true,2.059000,166.430000,0.569000,169.058000
../test/02_Lamport_slice.iii,62,7,55,0,65,21,2.274000,NULL,8.180000,false,1.927000,164.986000,0.832000,167.745000
../test/03_Dekker_slice.iii,59,7,52,0,53,114,1.836000,NULL,13.737000,true,1.390000,64.291000,0.417000,66.098000
../test/03_Dekker_slice.iii,41,7,34,0,36,99,1.519000,NULL,12.689000,true,1.481000,64.775000,0.530000,66.786000
../test/04_Szymanski_slice.iii,70,6,64,0,71,301,2.573000,NULL,26.582000,true,1.763000,452.009000,0.937000,454.709000
../test/04_Szymanski_slice.iii,50,6,44,0,52,58,1.907000,NULL,9.499000,false,1.746000,449.830000,1.301000,452.877000
../test/05_Peterson_slice.iii,50,7,43,0,42,96,1.602000,NULL,12.559000,true,1.253000,40.123000,0.253000,41.629000
../test/05_Peterson_slice.iii,31,7,24,0,24,78,1.167000,NULL,11.565000,true,1.309000,40.083000,0.331000,41.723000
../test/06_Sync_slice.iii,47,6,41,0,35,38,1.268000,NULL,8.184000,true,1.710000,14.595000,0.343000,16.648000
../test/06_Sync_slice.iii,37,6,31,0,28,38,1.083000,NULL,8.428000,true,1.727000,14.664000,0.667000,17.058000
../test/07_Datarace_slice.iii,59,8,51,0,48,85633,2.103000,NULL,7976.407000,true,1.798000,50.754000,0.413000,52.965000
../test/07_Datarace_slice.iii,47,8,39,0,38,284,1.740000,NULL,17.867000,false,1.880000,50.677000,0.754000,53.311000
../test/08_Rwlock_slice.iii,78,14,64,0,56,299,2.205000,NULL,39.502000,true,1.859000,32.298000,0.850000,35.007000
../test/08_Rwlock_slice.iii,66,14,52,0,43,416,1.932000,NULL,54.626000,true,1.790000,32.073000,1.003000,34.866000
../test/09_Varmutex_slice.iii,71,10,61,0,55,406,3.389000,NULL,45.788000,true,1.757000,29.548000,0.725000,32.030000
../test/09_Varmutex_slice.iii,53,10,43,0,39,771,3.143000,NULL,82.329000,true,1.667000,29.433000,0.668000,31.768000
../test/10_Lazy_slice.iii,48,6,42,0,35,74,1.305000,NULL,11.153000,false,1.634000,11.841000,0.229000,13.704000
../test/10_Lazy_slice.iii,31,5,26,0,22,34,1.044000,NULL,8.040000,false,1.699000,12.483000,0.439000,14.621000
