ProgramSliceNoDependence.csv
,P,Pv,Pc,Pf,T,S,Tm,Ts,Tc,R,Tdfd,Tcfd,Ttra,Tpro
../test/01_Fib_slice.iii,43,10,33,0,29,83055,1.599000,NULL,15240.234000,false,1.300000,17.900000,0.291000,19.491000
../test/01_Fib_slice.iii,25,8,17,0,15,50,0.963000,NULL,9.547000,false,1.480000,17.359000,0.329000,19.168000
../test/02_Lamport_slice.iii,74,7,67,0,76,416,2.473000,NULL,37.794000,true,1.983000,165.338000,0.568000,167.889000
../test/02_Lamport_slice.iii,62,7,55,0,65,21,2.220000,NULL,7.669000,false,1.914000,165.647000,0.822000,168.383000
../test/03_Dekker_slice.iii,59,7,52,0,53,114,1.959000,NULL,13.607000,true,1.441000,65.420000,0.421000,67.282000
../test/03_Dekker_slice.iii,41,7,34,0,36,99,1.515000,NULL,12.698000,true,1.400000,64.220000,0.521000,66.141000
../test/04_Szymanski_slice.iii,70,6,64,0,71,301,2.787000,NULL,27.290000,true,1.771000,446.363000,0.937000,449.071000
../test/04_Szymanski_slice.iii,50,6,44,0,52,58,2.070000,NULL,9.911000,false,1.688000,446.834000,1.094000,449.616000
../test/05_Peterson_slice.iii,50,7,43,0,42,96,1.511000,NULL,12.638000,true,1.316000,40.489000,0.252000,42.057000
../test/05_Peterson_slice.iii,31,7,24,0,24,78,1.139000,NULL,11.314000,true,1.349000,40.035000,0.333000,41.717000
../test/06_Sync_slice.iii,47,6,41,0,35,38,1.214000,NULL,8.161000,true,1.751000,14.639000,0.342000,16.732000
../test/06_Sync_slice.iii,37,6,31,0,28,38,1.133000,NULL,8.315000,true,1.714000,14.496000,0.666000,16.876000
../test/07_Datarace_slice.iii,59,8,51,0,48,85633,2.106000,NULL,8227.314000,true,1.890000,50.952000,0.422000,53.264000
../test/07_Datarace_slice.iii,47,8,39,0,38,284,1.769000,NULL,17.236000,false,2.035000,51.425000,0.951000,54.411000
../test/08_Rwlock_slice.iii,78,14,64,0,56,299,2.279000,NULL,39.555000,true,1.787000,32.124000,0.904000,34.815000
../test/08_Rwlock_slice.iii,66,14,52,0,43,416,1.942000,NULL,53.226000,true,1.872000,31.847000,0.920000,34.639000
../test/09_Varmutex_slice.iii,71,10,61,0,55,406,3.431000,NULL,45.804000,true,1.729000,29.815000,0.660000,32.204000
../test/09_Varmutex_slice.iii,53,10,43,0,39,771,3.032000,NULL,83.350000,true,1.668000,29.854000,0.707000,32.229000
../test/10_Lazy_slice.iii,48,6,42,0,35,74,1.407000,NULL,11.174000,false,1.746000,11.957000,0.230000,13.933000
../test/10_Lazy_slice.iii,31,5,26,0,22,34,1.089000,NULL,7.806000,false,1.637000,11.874000,0.448000,13.959000
