ProgramSliceNoDependence.csv
,P,Pv,Pc,Pf,T,S,Tm,Ts,Tc,R,Tdfd,Tcfd,Ttra,Tpro
../test/01_Fib_slice.iii,43,10,33,0,29,83055,1.551000,NULL,14888.088000,false,1.321000,18.557000,0.312000,20.190000
../test/01_Fib_slice.iii,25,8,17,0,15,50,0.972000,NULL,9.284000,false,1.251000,17.368000,0.337000,18.956000
../test/02_Lamport_slice.iii,74,7,67,0,76,416,2.451000,NULL,38.172000,true,1.907000,164.605000,0.580000,167.092000
../test/02_Lamport_slice.iii,62,7,55,0,65,21,2.143000,NULL,8.285000,false,1.944000,166.666000,0.814000,169.424000
../test/03_Dekker_slice.iii,59,7,52,0,53,114,1.844000,NULL,13.520000,true,1.426000,65.040000,0.463000,66.929000
../test/03_Dekker_slice.iii,41,7,34,0,36,99,1.605000,NULL,12.508000,true,1.495000,64.271000,0.520000,66.286000
../test/04_Szymanski_slice.iii,70,6,64,0,71,301,2.711000,NULL,26.839000,true,1.783000,447.996000,1.033000,450.812000
../test/04_Szymanski_slice.iii,50,6,44,0,52,58,1.923000,NULL,9.551000,false,1.671000,449.126000,1.162000,451.959000
../test/05_Peterson_slice.iii,50,7,43,0,42,96,1.614000,NULL,12.626000,true,1.237000,39.956000,0.250000,41.443000
../test/05_Peterson_slice.iii,31,7,24,0,24,78,1.245000,NULL,11.575000,true,1.363000,39.965000,0.336000,41.664000
../test/06_Sync_slice.iii,47,6,41,0,35,38,1.360000,NULL,8.530000,true,1.749000,14.500000,0.333000,16.582000
../test/06_Sync_slice.iii,37,6,31,0,28,38,1.093000,NULL,8.563000,true,1.735000,14.364000,0.720000,16.819000
../test/07_Datarace_slice.iii,59,8,51,0,48,85633,2.024000,NULL,7965.500000,true,1.857000,50.951000,0.413000,53.221000
../test/07_Datarace_slice.iii,47,8,39,0,38,284,1.870000,NULL,17.021000,false,1.852000,50.960000,0.709000,53.521000
../test/08_Rwlock_slice.iii,78,14,64,0,56,299,2.215000,NULL,39.352000,true,1.815000,31.763000,0.852000,34.430000
../test/08_Rwlock_slice.iii,66,14,52,0,43,416,1.807000,NULL,52.974000,true,1.821000,31.632000,0.950000,34.403000
../test/09_Varmutex_slice.iii,71,10,61,0,55,406,3.489000,NULL,45.928000,true,1.737000,29.503000,0.660000,31.900000
../test/09_Varmutex_slice.iii,53,10,43,0,39,771,2.956000,NULL,82.710000,true,1.701000,29.697000,0.694000,32.092000
../test/10_Lazy_slice.iii,48,6,42,0,35,74,1.354000,NULL,11.400000,false,1.602000,11.855000,0.228000,13.685000
../test/10_Lazy_slice.iii,31,5,26,0,22,34,1.016000,NULL,7.836000,false,1.571000,11.826000,0.408000,13.805000
