ProgramSliceNoDependence.csv
,P,Pv,Pc,Pf,T,S,Tm,Ts,Tc,R,Tdfd,Tcfd,Ttra,Tpro
../test/01_Fib_slice.iii,43,10,33,0,29,83055,1.458000,NULL,14871.999000,false,1.229000,17.972000,0.291000,19.492000
../test/01_Fib_slice.iii,25,8,17,0,15,50,0.992000,NULL,9.798000,false,1.223000,17.719000,0.331000,19.273000
../test/02_Lamport_slice.iii,74,7,67,0,76,416,2.455000,NULL,38.423000,true,1.958000,165.548000,0.570000,168.076000
../test/02_Lamport_slice.iii,62,7,55,0,65,21,2.172000,NULL,7.617000,false,1.921000,165.588000,0.859000,168.368000
../test/03_Dekker_slice.iii,59,7,52,0,53,114,1.937000,NULL,13.628000,true,1.406000,67.538000,0.420000,69.364000
../test/03_Dekker_slice.iii,41,7,34,0,36,99,1.562000,NULL,12.850000,true,1.395000,64.202000,0.608000,66.205000
../test/04_Szymanski_slice.iii,70,6,64,0,71,301,2.551000,NULL,26.976000,true,1.703000,448.861000,0.973000,451.537000
../test/04_Szymanski_slice.iii,50,6,44,0,52,58,2.033000,NULL,9.988000,false,1.752000,447.460000,1.154000,450.366000
../test/05_Peterson_slice.iii,50,7,43,0,42,96,1.650000,NULL,12.529000,true,1.317000,40.516000,0.251000,42.084000
../test/05_Peterson_slice.iii,31,7,24,0,24,78,1.169000,NULL,11.603000,true,1.441000,40.172000,0.340000,41.953000
../test/06_Sync_slice.iii,47,6,41,0,35,38,1.216000,NULL,8.314000,true,1.981000,14.462000,0.340000,16.783000
../test/06_Sync_slice.iii,37,6,31,0,28,38,1.131000,NULL,8.386000,true,1.731000,14.685000,0.674000,17.090000
../test/07_Datarace_slice.iii,59,8,51,0,48,85633,2.116000,NULL,8009.793000,true,1.821000,50.886000,0.414000,53.121000
../test/07_Datarace_slice.iii,47,8,39,0,38,284,1.816000,NULL,16.539000,false,1.858000,51.251000,0.723000,53.832000
../test/08_Rwlock_slice.iii,78,14,64,0,56,299,2.280000,NULL,39.457000,true,1.902000,32.036000,0.851000,34.789000
../test/08_Rwlock_slice.iii,66,14,52,0,43,416,1.796000,NULL,52.487000,true,1.822000,31.728000,0.912000,34.462000
../test/09_Varmutex_slice.iii,71,10,61,0,55,406,3.395000,NULL,46.483000,true,1.690000,29.834000,0.728000,32.252000
../test/09_Varmutex_slice.iii,53,10,43,0,39,771,3.046000,NULL,82.786000,true,1.712000,29.457000,0.683000,31.852000
../test/10_Lazy_slice.iii,48,6,42,0,35,74,1.403000,NULL,11.218000,false,1.576000,11.815000,0.228000,13.619000
../test/10_Lazy_slice.iii,31,5,26,0,22,34,0.979000,NULL,7.961000,false,1.659000,11.938000,0.411000,14.008000
