ProgramSliceNoDependence.csv
,P,Pv,Pc,Pf,T,S,Tm,Ts,Tc,R,Tdfd,Tcfd,Ttra,Tpro
../test/01_Fib_slice.iii,43,10,33,0,29,83055,1.558000,NULL,14915.479000,false,1.293000,17.752000,0.291000,19.336000
../test/01_Fib_slice.iii,25,8,17,0,15,50,0.907000,NULL,9.781000,false,1.299000,17.580000,0.334000,19.213000
../test/02_Lamport_slice.iii,74,7,67,0,76,416,2.479000,NULL,38.597000,true,2.197000,166.838000,0.571000,169.606000
../test/02_Lamport_slice.iii,62,7,55,0,65,21,2.338000,NULL,8.200000,false,1.960000,165.155000,0.950000,168.065000
../test/03_Dekker_slice.iii,59,7,52,0,53,114,1.936000,NULL,14.305000,true,1.464000,64.507000,0.423000,66.394000
../test/03_Dekker_slice.iii,41,7,34,0,36,99,1.467000,NULL,12.921000,true,1.392000,64.143000,0.528000,66.063000
../test/04_Szymanski_slice.iii,70,6,64,0,71,301,2.625000,NULL,27.137000,true,1.740000,451.167000,0.936000,453.843000
../test/04_Szymanski_slice.iii,50,6,44,0,52,58,1.976000,NULL,10.580000,false,1.789000,448.880000,1.135000,451.804000
../test/05_Peterson_slice.iii,50,7,43,0,42,96,1.584000,NULL,12.706000,true,1.301000,41.745000,0.250000,43.296000
../test/05_Peterson_slice.iii,31,7,24,0,24,78,1.261000,NULL,11.990000,true,1.261000,40.257000,0.352000,41.870000
../test/06_Sync_slice.iii,47,6,41,0,35,38,1.271000,NULL,8.335000,true,1.672000,14.406000,0.333000,16.411000
../test/06_Sync_slice.iii,37,6,31,0,28,38,1.201000,NULL,9.048000,true,1.745000,14.291000,0.718000,16.754000
../test/07_Datarace_slice.iii,59,8,51,0,48,85633,2.023000,NULL,7948.509000,true,1.808000,50.853000,0.420000,53.081000
../test/07_Datarace_slice.iii,47,8,39,0,38,284,1.940000,NULL,17.373000,false,1.881000,50.511000,0.797000,53.189000
../test/08_Rwlock_slice.iii,78,14,64,0,56,299,2.603000,NULL,40.387000,true,1.907000,32.232000,0.854000,34.993000
../test/08_Rwlock_slice.iii,66,14,52,0,43,416,1.885000,NULL,52.416000,true,1.795000,32.030000,0.985000,34.810000
../test/09_Varmutex_slice.iii,71,10,61,0,55,406,3.566000,NULL,46.455000,true,1.663000,29.622000,0.663000,31.948000
../test/09_Varmutex_slice.iii,53,10,43,0,39,771,2.996000,NULL,82.623000,true,1.839000,29.699000,0.682000,32.220000
../test/10_Lazy_slice.iii,48,6,42,0,35,74,1.393000,NULL,11.154000,false,1.554000,11.800000,0.232000,13.586000
../test/10_Lazy_slice.iii,31,5,26,0,22,34,1.122000,NULL,8.468000,false,1.774000,12.099000,0.411000,14.284000
